Scenario,TMT_Magnitude,Coordination_%,Total_Pairs,Num_Relays,Avg_TDS,Avg_Pickup,Complexity_Score,Transformer_R2,Transformer_MSE,Transformer_MAE,Valid_Pairs,TMT_Category,Complexity_Category,Transformer_Category,Overall_Score
scenario_57,1.4954999999999998,88.0,100,74,0.439889054054054,0.46435770270270266,0.7124760613081167,0.41409448795050985,0.041403405762652085,0.15970773319022036,100,Poor,High,Medium,0.6575369371889355
scenario_66,1.4975999999999998,86.0,100,74,0.39256432432432437,0.4421966216216217,0.7264109993063691,0.40500773176269333,0.04506792182699435,0.16397454833382502,100,Poor,High,Medium,0.6526366696328526
scenario_64,1.5552,87.0,100,74,0.431022972972973,0.4692012162162162,0.6989503804277569,0.3648568462393941,0.04841195406658785,0.1639625372362953,100,Poor,High,Medium,0.6424064968076548
scenario_25,1.4659,85.0,100,74,0.4371358108108108,0.5195094594594595,0.7603767466722966,0.38185957493292,0.05298103256652511,0.18167278818060745,100,Poor,High,Medium,0.6418653604790315
scenario_26,1.4883000000000002,85.0,100,74,0.4530574324324325,0.5181812162162164,0.8746326072649518,0.44185082486538135,0.047921236836279635,0.15386010881634044,100,Poor,High,Medium,0.6418283563698717
scenario_35,1.4608,87.0,100,74,0.43186270270270266,0.47215391891891895,0.6994635590168975,0.3464433125140435,0.049221308953774176,0.16671756949664363,100,Poor,High,Medium,0.6405814599016785
scenario_34,1.4870999999999999,85.0,100,74,0.3765447297297298,0.5112674324324326,0.7896216261170192,0.3825244739655787,0.046937254690781485,0.16683363938504908,100,Poor,High,Medium,0.6368300982721208
scenario_67,1.4633,86.0,100,74,0.3707825675675676,0.5054574324324325,0.8448368256003134,0.39925579096022146,0.04223935753272186,0.157057529471041,100,Poor,High,Medium,0.6345192134480193
scenario_28,1.4890999999999999,85.0,100,74,0.4032351351351351,0.5096524324324324,0.8683769876070394,0.41145126920371955,0.049502597649447644,0.1698439625092947,100,Poor,High,Medium,0.6336148326200599
scenario_24,1.4495,86.0,100,74,0.42673,0.5022040540540541,0.8697059500516803,0.4040727356296644,0.05985892971579071,0.17412522462061925,100,Poor,High,Medium,0.6327859281811472
scenario_59,1.504,86.0,100,74,0.4097345945945946,0.520825,0.8080302733896699,0.38007236124600274,0.07423796422063092,0.1790757168385288,100,Poor,High,Medium,0.6326571673653503
scenario_22,1.5195999999999998,83.0,100,74,0.4580183783783783,0.4439914864864865,0.6655181066231651,0.3088211317864699,0.06269519455855727,0.168281043911431,100,Poor,High,Medium,0.6320346235424662
scenario_36,1.4761000000000002,87.0,100,74,0.4053867567567567,0.4631847297297297,0.8652980938409434,0.4011449242707317,0.06743210715198318,0.18210140325407637,100,Poor,High,Medium,0.6315047632050781
scenario_29,1.4907,84.0,100,74,0.4072370270270271,0.44936378378378383,0.7056707096146294,0.31875908964352495,0.054441726783368755,0.16076532948174463,100,Poor,High,Medium,0.6301491204508631
scenario_68,1.4962000000000002,86.0,100,74,0.40636648648648643,0.42443837837837833,0.7067386524854391,0.3173657229500487,0.056188300020930546,0.16730401518067237,100,Poor,High,Medium,0.6293509190121986
scenario_4,1.512,88.0,100,74,0.42966932432432425,0.4388052702702703,0.6353994090535199,0.2736496780222435,0.07042254840227904,0.16293358444855044,100,Poor,High,Medium,0.6263049920486451
scenario_30,1.4708,84.0,100,74,0.4520495945945946,0.4997545945945946,0.8495868253758717,0.37426430958237467,0.04860083948167631,0.1720575637422521,100,Poor,High,Medium,0.6260092690683317
scenario_55,1.5005,88.0,100,74,0.39900175675675675,0.48196621621621616,0.875037024194111,0.3891667030594104,0.04948784684094784,0.1595500106618355,100,Poor,High,Medium,0.6254744572887064
scenario_21,1.5404,82.0,100,74,0.4877620270270271,0.4393290540540541,0.7408137079166259,0.32050947724400114,0.0465917060201024,0.16491823328334956,100,Poor,High,Medium,0.6234147869857065
scenario_56,1.4637999999999998,88.0,100,74,0.41070229729729724,0.5222175675675677,0.9788724825325681,0.4283354833554115,0.07304528056623125,0.18763015308779304,100,Poor,High,Medium,0.6231177726267383
scenario_58,1.5183000000000002,88.0,100,74,0.39851175675675676,0.46612040540540545,0.6817071344987489,0.28009138104910386,0.07893412090988788,0.17807833589129504,100,Poor,High,Medium,0.6210393441399188
scenario_31,1.5232999999999999,84.0,100,74,0.4349370270270271,0.4657818918918919,0.7231376830867037,0.2950420339447581,0.06834287597180333,0.18606023330713822,100,Poor,High,Medium,0.6191099577204219
scenario_60,1.5111999999999997,86.0,100,74,0.41079608108108107,0.5395018918918918,0.9627715585749593,0.41129142932588447,0.06739483224559044,0.1796301347764453,100,Poor,High,Medium,0.6185236950115215
scenario_65,1.4590999999999998,86.0,100,74,0.42543391891891896,0.5423545945945946,0.9628149089471267,0.3998693229225332,0.07482383893763728,0.19225833990903252,100,Poor,High,Medium,0.617174560534691
scenario_17,3.1088,80.0,100,73,0.43853698630136984,0.1457205479452055,0.26903712565957183,0.270338115331773,0.01609580486109894,0.09294083236586853,98,Poor,Low,Medium,0.6163938657505962
scenario_43,3.0347000000000004,80.0,100,73,0.3951217808219178,0.1722,0.300617233573803,0.26038086917493913,0.020975104614656334,0.11089454803573784,98,Poor,Low,Medium,0.6116336757164113
scenario_27,1.4811999999999999,87.0,100,74,0.4439741891891892,0.4591677027027027,0.8198038708834379,0.30974516793871254,0.058397662984101824,0.167505679440261,100,Poor,High,Medium,0.610704969749098
scenario_62,1.516,87.0,100,74,0.44679189189189195,0.5343456756756757,0.9214160909902107,0.3514397724243381,0.08212020528123364,0.18068738630425768,100,Poor,High,Medium,0.60657951807877
scenario_53,1.6185,86.0,100,74,0.4268355405405405,0.5121478378378379,1.009348376773197,0.4056870528413208,0.07858702911729169,0.18070440904383875,100,Poor,High,Medium,0.6055638593364167
scenario_11,3.1214999999999997,75.0,100,73,0.39129438356164387,0.1570176712328767,0.2663752593596371,0.22166640430514,0.01634742861629937,0.09702897177581934,98,Poor,Low,Medium,0.6016836323875965
scenario_50,3.0542,77.0,100,73,0.4539842465753425,0.15516328767123286,0.30818120801338267,0.2306012927974835,0.023359215885876708,0.11015534377529662,98,Poor,Low,Medium,0.6007852066372377
scenario_54,1.5944,86.0,100,74,0.41683554054054056,0.4517893243243244,0.8288746980317482,0.2849503003275913,0.08637675362463054,0.18061064119720593,100,Poor,High,Medium,0.5973778853935152
scenario_23,1.4702000000000002,86.0,100,74,0.4233540540540541,0.45353418918918914,0.5914634125146877,0.12450295099458258,0.08016371972585712,0.17328843151667447,100,Poor,High,Low,0.5898233734211716
scenario_52,3.1510000000000002,79.0,100,73,0.3995943835616438,0.158533698630137,0.2976080606012965,0.19858545610367834,0.021210792026891957,0.10970080627506483,98,Poor,Low,Low,0.5888944277409089
scenario_49,3.0053000000000005,78.0,100,73,0.3973283561643836,0.15542739726027396,0.30157542100684465,0.17146005654867497,0.022337494740895518,0.11491921201032539,98,Poor,Low,Low,0.5859897038135757
scenario_39,3.5258000000000003,80.0,100,73,0.4541332876712329,0.16371726027397263,0.2876150500949317,0.23220633550892397,0.019127105683202056,0.10275108035139806,98,Poor,Low,Medium,0.5854876431384374
scenario_51,3.0618999999999996,79.0,100,73,0.3922115068493151,0.16677369863013697,0.3039484292567682,0.17714707922839576,0.023065147164557275,0.11803320302283617,98,Poor,Low,Low,0.5850758593800035
scenario_44,2.9276000000000004,77.0,100,73,0.3759831506849315,0.15202109589041096,0.2627506296018949,0.1383845887784807,0.017428766504901994,0.09739744778181422,98,Poor,Low,Low,0.58499878219326
scenario_1,1.4747999999999999,86.0,100,74,0.3671163513513514,0.4771374324324324,0.8756597660274986,0.2429780099884238,0.07325680887570594,0.18773002222460464,100,Poor,High,Medium,0.5825524380924023
scenario_7,3.4290999999999996,79.0,100,73,0.44460068493150684,0.1700423287671233,0.3053891408167154,0.21585953352108303,0.02152304011154921,0.11091815356221735,98,Poor,Low,Medium,0.5817854889338175
scenario_18,3.4706,77.0,100,73,0.4565442465753424,0.1651404109589041,0.2906216058184615,0.20060655375933542,0.01988112763743225,0.10742863490702657,98,Poor,Low,Medium,0.5777647252550314
scenario_20,3.6341,77.0,100,73,0.41976205479452056,0.14809657534246579,0.27515843470587886,0.19189899644388833,0.018373974111784833,0.10170719160777661,98,Poor,Low,Low,0.5709319337272848
scenario_12,3.5195,77.0,100,73,0.41008767123287665,0.15108739726027398,0.2711928761628304,0.1736847439776055,0.019132176349119838,0.104781749628572,98,Poor,Low,Low,0.570646491768857
scenario_61,1.5201,87.0,100,74,0.40742216216216215,0.42645054054054055,0.6117419585205675,0.05602901107974306,0.1016894013877365,0.19271754303572491,100,Poor,High,Low,0.5642434095458378
scenario_40,3.3893,79.0,100,73,0.46225712328767127,0.16630109589041095,0.30991217852839825,0.14433355400650674,0.024918300885184694,0.12049493812040844,98,Poor,Low,Low,0.5612412394226923
scenario_3,3.4216,79.0,100,73,0.42275205479452055,0.1514441095890411,0.28105732966025015,0.12653693259757848,0.021451496280785225,0.11014209735168308,98,Poor,Low,Low,0.558938480330236
scenario_32,1.4924,84.0,100,74,0.4498316216216216,0.46025270270270263,0.543427875479364,-0.011306197917001187,0.08186759904246574,0.18049341579847256,100,Poor,High,Low,0.5587898186780954
scenario_33,1.4646000000000001,85.0,100,74,0.41887108108108106,0.4308695945945945,0.5648402745033072,-0.30286663444787554,0.12749710563705155,0.1825175651934172,100,Poor,High,Low,0.5566899588245039
scenario_42,3.5691,80.0,100,73,0.3987835616438356,0.13293315068493153,0.2605775616210481,0.12081416312964505,0.018772226054350485,0.10267094053065777,98,Poor,Low,Low,0.5543936146957363
scenario_63,1.5604,87.0,100,74,0.4068852702702703,0.41100864864864867,0.6203785210466137,-0.10780581771522252,0.10733096876924865,0.18850632708825457,100,Poor,High,Low,0.544527221843008
scenario_19,3.4442000000000004,76.0,100,73,0.3940153424657534,0.14356068493150684,0.25961950037294246,0.06007675481700908,0.01773732712195774,0.10272849552160758,98,Poor,Low,Low,0.5413121013891613
scenario_8,4.4846,80.0,100,73,0.42757616438356166,0.16437890410958905,0.30947297956457176,0.19323806955168402,0.023397360645275606,0.1156547616920628,98,Poor,Low,Low,0.5321664739308194
scenario_38,4.9591,78.0,100,73,0.4319413698630137,0.17967986301369865,0.2883460996273115,0.2408177789875929,0.01834286593145372,0.10099938658783816,98,Poor,Low,Medium,0.5306294187521811
scenario_41,4.658200000000001,78.0,100,73,0.39996164383561644,0.1772169863013699,0.26571698157323453,0.1781208378290405,0.016965622306996463,0.10285357312832233,98,Poor,Low,Low,0.5272507041127269
scenario_2,4.4558,79.0,100,73,0.4656560273972603,0.1647954794520548,0.2834732698824627,0.13044802136273073,0.02056676691393798,0.10900265119014028,98,Poor,Low,Low,0.5183814159264498
scenario_13,5.020699999999999,80.0,100,73,0.3782846575342466,0.1610578082191781,0.30236583959575525,0.204979471169597,0.022170024798039367,0.11628929283257905,98,Poor,Low,Medium,0.5153109654115159
scenario_10,5.093399999999999,77.0,100,73,0.4101882191780822,0.15347849315068493,0.30480967775467355,0.1808222852063047,0.02455943881749415,0.11878196468006669,98,Poor,Low,Low,0.5047892338986905
scenario_37,5.471800000000001,78.0,100,73,0.41529342465753427,0.15106561643835617,0.276208520347367,0.16649822978413764,0.018305892942661474,0.10690153637232533,98,Poor,Low,Low,0.48964619088313616
scenario_48,5.65,79.0,100,73,0.4389435616438356,0.18189657534246578,0.2975572432823763,0.2004967309847913,0.021202683293099836,0.11640853539794285,98,Poor,Low,Medium,0.4895154328030809
scenario_9,6.2955,78.0,100,73,0.38016671232876714,0.17297369863013703,0.3019568372606566,0.2250122607655441,0.021847835763924774,0.10949748509590113,98,Poor,Low,Medium,0.4703901526405648
scenario_6,6.5761,80.0,100,73,0.45181917808219185,0.16095219178082193,0.3048451124841446,0.22563510802605646,0.021787865186371446,0.10503211948487033,98,Poor,Low,Medium,0.45891976553519526
scenario_47,6.527299999999999,79.0,100,73,0.39606643835616434,0.16511712328767125,0.2857954800451934,0.20619613580396148,0.019174034720773715,0.10413095082864876,98,Poor,Low,Medium,0.4578975187344094
scenario_46,6.949200000000001,77.0,100,73,0.4678697260273973,0.17420424657534248,0.2977527542115533,0.2232608381805824,0.02125535278495021,0.1102967079750796,98,Poor,Low,Medium,0.44434733832244167
scenario_45,8.830899999999996,77.0,100,73,0.4482824657534247,0.16680739726027394,0.2937104019929919,0.20729039642671382,0.021008302432772828,0.110083820118726,98,Poor,Low,Medium,0.36489455862906556
scenario_16,9.5981,79.0,100,73,0.4376009589041096,0.1696760273972603,0.30696301433376366,0.2074332047289387,0.02336975141728763,0.11763537867998294,98,Poor,Low,Medium,0.33226150926861703
scenario_5,10.6294,79.0,100,73,0.444066301369863,0.14588712328767123,0.2894302678125611,0.2284502982072849,0.020531469315414462,0.10468649957018533,98,Poor,Low,Medium,0.32512054929030126
scenario_15,18.1474,77.0,100,73,0.4017645205479452,0.14907232876712329,0.27373607482001017,0.15688499464159744,0.01929157744611437,0.10768965009537564,98,Poor,Low,Low,0.3060050871694777
scenario_14,31.925499999999996,77.0,100,73,0.42425821917808215,0.16265465753424657,0.28921994101000803,0.13575981828096767,0.020892429405250924,0.10894487970807948,98,Poor,Low,Low,0.2973449543327891
