Scenario,Has_Optimization,Total_Pairs,TMT,Coordination_Percentage,Mean_DT,Std_DT,Min_DT,Max_DT,TMT_After,Coord_After,TMT_Improvement,Coord_Improvement
scenario_1,True,100,-15.854300,12.00,-0.158408,0.091403,-0.384200,0.008000,0.000000,100.00,15.854300,88.00
scenario_10,True,100,-19.227400,14.00,-0.177297,0.214044,-1.292600,0.939000,-4.734655,97.00,14.492745,83.00
scenario_11,True,100,-17.812700,12.00,-0.091148,0.806643,-0.501700,7.813700,-4.318405,98.00,13.494295,86.00
scenario_12,True,100,-18.117100,11.00,-0.159928,0.207997,-0.509000,1.339500,-5.515356,98.00,12.601744,87.00
scenario_13,True,100,-18.449700,13.00,-0.171677,0.227112,-1.809200,0.330100,-4.916973,90.00,13.532727,77.00
scenario_14,True,100,-45.681500,14.00,-0.307898,2.221548,-14.306500,13.920400,-4.345753,98.00,41.335747,84.00
scenario_15,True,100,-32.152800,14.00,-0.249049,1.109747,-7.375600,6.643800,-6.027439,98.00,26.125361,84.00
scenario_16,True,100,-23.646800,11.00,-0.203080,0.489985,-3.203500,2.825500,-3.904840,91.00,19.741960,80.00
scenario_17,True,100,-17.773400,13.00,-0.026339,1.390037,-0.495500,13.702600,-2.891570,94.00,14.881830,81.00
scenario_18,True,100,-18.325100,10.00,-0.162044,0.215912,-0.499100,1.497600,-4.717462,98.00,13.607638,88.00
scenario_19,True,100,-18.061100,13.00,-0.151330,0.276630,-0.503200,2.225000,-3.899079,98.00,14.162021,85.00
scenario_2,True,100,-18.962400,12.00,-0.179323,0.176324,-0.982200,0.637300,-6.959651,97.00,12.002749,85.00
scenario_20,True,100,-18.231600,11.00,-0.033771,1.422920,-0.505800,14.049700,-5.054246,98.00,13.177354,87.00
scenario_21,True,100,-15.992200,12.00,-0.159693,0.092817,-0.403100,0.016400,0.000000,100.00,15.992200,88.00
scenario_22,True,100,-15.895000,12.00,-0.158828,0.092162,-0.387700,0.006200,-0.014289,98.00,15.880711,86.00
scenario_23,True,100,-15.690300,10.00,-0.156418,0.092667,-0.387800,0.032700,0.000000,100.00,15.690300,90.00
scenario_24,True,100,-15.589500,15.00,-0.154774,0.093918,-0.392500,0.068900,0.000000,100.00,15.589500,85.00
scenario_25,True,100,-15.696400,12.00,-0.156951,0.092184,-0.398800,0.001300,0.000000,100.00,15.696400,88.00
scenario_26,True,100,-15.808500,7.00,-0.158053,0.091980,-0.412500,0.003100,-0.377449,92.00,15.431051,85.00
scenario_27,True,100,-15.876900,13.00,-0.158466,0.091555,-0.384000,0.015800,0.000000,100.00,15.876900,87.00
scenario_28,True,100,-15.843200,12.00,-0.158034,0.091745,-0.383600,0.019400,0.000000,100.00,15.843200,88.00
scenario_29,True,100,-15.726500,15.00,-0.156645,0.094875,-0.407900,0.020200,-0.506140,91.00,15.220360,76.00
scenario_3,True,100,-17.821500,13.00,-0.161816,0.175279,-0.510600,0.852300,-5.875296,98.00,11.946204,85.00
scenario_30,True,100,-15.688200,9.00,-0.156657,0.093347,-0.391600,0.007800,-0.003281,99.00,15.684919,90.00
scenario_31,True,100,-15.866800,11.00,-0.158298,0.093898,-0.408400,0.019200,-0.142829,97.00,15.723971,86.00
scenario_32,True,100,-15.804600,11.00,-0.157972,0.092491,-0.394400,0.004800,-0.102598,96.00,15.702002,85.00
scenario_33,True,100,-15.541000,12.00,-0.153525,0.095921,-0.395400,0.108900,0.000000,100.00,15.541000,88.00
scenario_34,True,100,-15.668000,11.00,-0.155569,0.094060,-0.387100,0.061900,0.000000,100.00,15.668000,89.00
scenario_35,True,100,-15.567200,11.00,-0.154313,0.094581,-0.395100,0.074800,-0.004612,99.00,15.562588,88.00
scenario_36,True,100,-15.695100,10.00,-0.156092,0.093501,-0.385400,0.054400,0.000000,100.00,15.695100,90.00
scenario_37,True,100,-19.964200,10.00,-0.185236,0.212601,-1.234600,0.827000,-5.261299,98.00,14.702901,88.00
scenario_38,True,100,-19.490400,8.00,-0.183248,0.188572,-1.053600,0.659300,-5.006048,98.00,14.484352,90.00
scenario_39,True,100,-17.966900,13.00,-0.126643,0.490468,-0.509000,4.543000,-5.534281,98.00,12.432619,85.00
scenario_4,True,100,-15.230500,13.00,-0.149181,0.100387,-0.384200,0.181700,-0.304523,93.00,14.925977,80.00
scenario_40,True,100,-17.840000,13.00,-0.163417,0.171882,-0.506500,0.857500,-4.400713,92.00,13.439287,79.00
scenario_41,True,100,-18.763700,14.00,-0.169357,0.200701,-1.036400,0.684300,-5.424024,98.00,13.339676,84.00
scenario_42,True,100,-17.731200,16.00,-0.114915,0.542268,-0.517200,5.050800,-4.610927,98.00,13.120273,82.00
scenario_43,True,100,-17.521800,13.00,-0.156749,0.182945,-0.505300,1.052500,-3.959434,98.00,13.562366,85.00
scenario_44,True,100,-17.642700,10.00,-0.169130,0.135136,-0.498200,0.313100,-4.411570,98.00,13.231130,88.00
scenario_45,True,100,-22.856800,13.00,-0.190227,0.429539,-2.701000,2.216800,-4.815711,96.00,18.041089,83.00
scenario_46,True,100,-21.050700,12.00,-0.182357,0.312668,-1.917400,1.469900,-5.827045,98.00,15.223655,86.00
scenario_47,True,100,-20.794800,12.00,-0.185549,0.277380,-1.686800,1.252300,-6.069675,98.00,14.725125,86.00
scenario_48,True,100,-19.980300,10.00,-0.182152,0.229955,-1.354700,0.939300,-5.106827,97.00,14.873473,87.00
scenario_49,True,100,-17.756400,11.00,-0.150965,0.249321,-0.493000,1.942800,-4.180731,93.00,13.575669,82.00
scenario_5,True,100,-24.947500,13.00,-0.214049,0.555839,-3.716400,3.173500,-5.156330,97.00,19.791170,84.00
scenario_50,True,100,-17.785600,9.00,-0.145838,0.278507,-0.496300,2.221600,-3.703616,96.00,14.081984,87.00
scenario_51,True,100,-17.582700,14.00,-0.116958,0.529134,-0.499200,4.950600,-5.246640,96.00,12.336060,82.00
scenario_52,True,100,-17.646800,13.00,0.266535,4.257346,-0.502600,42.585200,-5.802685,97.00,11.844115,84.00
scenario_53,True,100,-15.508400,9.00,-0.153166,0.098489,-0.383700,0.110300,-0.061445,97.00,15.446955,88.00
scenario_54,True,100,-15.374700,13.00,-0.151062,0.100415,-0.383400,0.150900,-0.088950,93.00,15.285750,80.00
scenario_55,True,100,-15.091300,15.00,-0.146147,0.105518,-0.383000,0.256200,0.000000,100.00,15.091300,85.00
scenario_56,True,100,-14.986900,12.00,-0.143610,0.109804,-0.383700,0.321900,0.000000,100.00,14.986900,88.00
scenario_57,True,100,-15.263100,12.00,-0.150311,0.098044,-0.392900,0.148600,0.000000,100.00,15.263100,88.00
scenario_58,True,100,-15.259300,12.00,-0.149947,0.099092,-0.388000,0.157300,-0.139261,97.00,15.120039,85.00
scenario_59,True,100,-15.161900,12.00,-0.147719,0.102828,-0.380100,0.235000,0.000000,100.00,15.161900,88.00
scenario_6,True,100,-20.974700,13.00,-0.192326,0.280369,-1.829500,1.378000,-5.286185,98.00,15.688515,85.00
scenario_60,True,100,-15.057700,12.00,-0.146225,0.104266,-0.376500,0.252500,0.000000,100.00,15.057700,88.00
scenario_61,True,100,-15.425600,11.00,-0.152924,0.095958,-0.393000,0.081500,0.000000,100.00,15.425600,89.00
scenario_62,True,100,-15.330900,14.00,-0.151279,0.097690,-0.392500,0.125700,-0.196744,88.00,15.134156,74.00
scenario_63,True,100,-15.476200,15.00,-0.153057,0.097090,-0.388700,0.105200,-0.004701,98.00,15.471499,83.00
scenario_64,True,100,-15.363400,11.00,-0.151260,0.098835,-0.388300,0.131500,-0.001506,99.00,15.361894,88.00
scenario_65,True,100,-14.815100,15.00,-0.139897,0.117225,-0.378700,0.428900,-0.195693,96.00,14.619407,81.00
scenario_66,True,100,-14.944800,14.00,-0.142794,0.111475,-0.376000,0.348300,-0.003870,99.00,14.940930,85.00
scenario_67,True,100,-14.898000,14.00,-0.141650,0.113844,-0.379800,0.382300,0.000000,100.00,14.898000,86.00
scenario_68,True,100,-15.042900,16.00,-0.144779,0.107967,-0.379500,0.293000,-0.010005,99.00,15.032895,83.00
scenario_7,True,100,-17.786300,14.00,1.745175,19.070232,-0.509900,191.486100,-5.646057,98.00,12.140243,84.00
scenario_8,True,100,-19.002700,12.00,-0.180476,0.174254,-0.989300,0.592700,-5.808787,98.00,13.193913,86.00
scenario_9,True,100,-20.147200,14.00,-0.176325,0.292514,-1.907400,1.443200,-5.300796,98.00,14.846404,84.00
