scenario_id,status,pairs_count,relays_count,optimized_relays,error,issues
scenario_1,success,100,74,74,,
scenario_2,success,98,73,73,,
scenario_3,success,97,73,73,,
scenario_4,success,100,74,74,,
scenario_5,success,98,73,73,,
scenario_6,success,98,73,73,,
scenario_7,success,98,73,73,,
scenario_8,success,98,73,73,,
scenario_9,success,98,73,73,,
scenario_10,success,98,73,73,,
scenario_11,success,98,73,73,,
scenario_12,success,98,73,73,,
scenario_13,success,98,73,73,,
scenario_14,success,98,73,73,,
scenario_15,success,98,73,73,,
scenario_16,success,98,73,73,,
scenario_17,success,98,73,73,,
scenario_18,success,98,73,73,,
scenario_19,success,98,73,73,,
scenario_20,success,98,73,73,,
scenario_21,success,100,74,74,,
scenario_22,success,100,74,74,,
scenario_23,success,100,74,74,,
scenario_24,success,100,74,74,,
scenario_25,success,100,74,74,,
scenario_26,success,100,74,74,,
scenario_27,success,100,74,74,,
scenario_28,success,100,74,74,,
scenario_29,success,100,74,74,,
scenario_30,success,100,74,74,,
scenario_31,success,100,74,74,,
scenario_32,success,100,74,74,,
scenario_33,success,100,74,74,,
scenario_34,success,100,74,74,,
scenario_35,success,100,74,74,,
scenario_36,success,100,74,74,,
scenario_37,success,97,73,73,,
scenario_38,success,97,73,73,,
scenario_39,success,97,73,73,,
scenario_40,success,98,73,73,,
scenario_41,success,97,73,73,,
scenario_42,success,97,73,73,,
scenario_43,success,97,73,73,,
scenario_44,success,97,73,73,,
scenario_45,success,97,73,73,,
scenario_46,success,97,73,73,,
scenario_47,success,97,73,73,,
scenario_48,success,97,73,73,,
scenario_49,success,98,73,73,,
scenario_50,success,98,73,73,,
scenario_51,success,98,73,73,,
scenario_52,success,98,73,73,,
scenario_53,success,100,74,74,,
scenario_54,success,100,74,74,,
scenario_55,success,100,74,74,,
scenario_56,success,100,74,74,,
scenario_57,success,100,74,74,,
scenario_58,success,100,74,74,,
scenario_59,success,100,74,74,,
scenario_60,success,100,74,74,,
scenario_61,success,100,74,74,,
scenario_62,success,100,74,74,,
scenario_63,success,100,74,74,,
scenario_64,success,100,74,74,,
scenario_65,success,100,74,74,,
scenario_66,success,100,74,74,,
scenario_67,success,100,74,74,,
scenario_68,success,100,74,74,,
