scenario_id,tmt_before,tmt_after,improvement_percent,num_cases
scenario_1,0.297491,2.463166132900463,-727.980050791608,100
scenario_2,0.35631300000000005,inf,-inf,100
scenario_3,0.34921599999999997,inf,-inf,100
scenario_4,0.32590800000000003,2.1677984635128755,-565.1565667344389,100
scenario_5,0.473629,inf,-inf,100
scenario_6,0.3951969999999999,inf,-inf,100
scenario_7,2.265575,inf,-inf,100
scenario_8,0.3562349999999999,inf,-inf,100
scenario_9,0.4236140000000001,inf,-inf,100
scenario_10,0.3827380000000001,inf,-inf,100
scenario_11,0.4070459999999999,inf,-inf,100
scenario_12,0.35261500000000007,inf,-inf,100
scenario_13,0.38364,inf,-inf,100
scenario_14,0.9289429999999999,inf,-inf,100
scenario_15,0.634228,inf,-inf,100
scenario_16,0.467136,inf,-inf,100
scenario_17,0.47235499999999997,inf,-inf,100
scenario_18,0.3429489999999999,inf,-inf,100
scenario_19,0.359124,inf,-inf,100
scenario_20,0.48286999999999997,inf,-inf,100
scenario_21,0.295638,2.8004400657199717,-847.2530817147904,100
scenario_22,0.29703100000000004,3.0661174085164817,-932.2550200202945,100
scenario_23,0.301821,3.346859444688369,-1008.8888595188437,100
scenario_24,0.30532699999999996,3.5378622631377543,-1058.712548558678,100
scenario_25,0.30193600000000004,2.690035884720649,-790.9291653597613,100
scenario_26,0.29906600000000005,3.025012986049829,-911.4867574548189,100
scenario_27,0.29727099999999995,3.256874465436439,-995.5910483822638,100
scenario_28,0.298141,2.9066671486124362,-874.9303680515046,100
scenario_29,0.30370199999999997,2.007726955879993,-561.084535459099,100
scenario_30,0.303349,2.9492350807625933,-872.2250875271037,100
scenario_31,0.299413,2.7101513354101887,-805.1548648222318,100
scenario_32,0.29964699999999994,2.799462881039611,-834.2535987477305,100
scenario_33,0.30774799999999997,2.851007102419178,-826.409628143539,100
scenario_34,0.303379,2.9967755902104773,-887.7992841332053,100
scenario_35,0.305971,3.1495443135902126,-929.3604013420268,100
scenario_36,0.30219700000000005,3.010040299814406,-896.0523432775327,100
scenario_37,0.36894700000000014,inf,-inf,100
scenario_38,0.35824,inf,-inf,100
scenario_39,0.387537,inf,-inf,100
scenario_40,0.346148,inf,-inf,100
scenario_41,0.37997800000000004,inf,-inf,100
scenario_42,0.40921099999999994,inf,-inf,100
scenario_43,0.340915,inf,-inf,100
scenario_44,0.31928400000000007,inf,-inf,100
scenario_45,0.46054700000000004,inf,-inf,100
scenario_46,0.42285800000000007,inf,-inf,100
scenario_47,0.40146,inf,-inf,100
scenario_48,0.38352400000000003,inf,-inf,100
scenario_49,0.34048700000000004,inf,-inf,100
scenario_50,0.34716299999999994,inf,-inf,100
scenario_51,0.38122499999999987,inf,-inf,100
scenario_52,0.7676450000000002,inf,-inf,100
scenario_53,0.31914300000000007,2.5161966512912164,-688.4229487380942,100
scenario_54,0.32323300000000005,2.72796732693338,-743.9631247222219,100
scenario_55,0.331572,2.985997507808545,-800.5577997564767,100
scenario_56,0.33646700000000007,3.503376611883364,-941.2244326734459,100
scenario_57,0.323853,2.932932762004259,-805.637051997128,100
scenario_58,0.32473099999999994,2.664576744578129,-720.5489295996163,100
scenario_59,0.3280619999999999,3.0120841870722987,-818.1447979565752,100
scenario_60,0.3301660000000001,2.6268417785013973,-695.6124429836495,100
scenario_61,0.31790300000000005,2.4568629983027885,-672.834165862791,100
scenario_62,0.321497,2.548009058432022,-692.5452052218286,100
scenario_63,0.31822100000000003,3.5299902200395166,-1009.2888967225658,100
scenario_64,0.32209699999999997,2.5206026122745935,-682.560102166302,100
scenario_65,0.34199700000000005,3.43498002963664,-904.388936054012,100
scenario_66,0.336717,3.4453441164864405,-923.2165636087398,100
scenario_67,0.33921799999999996,3.6206896196583807,-967.3636480547557,100
scenario_68,0.33385200000000004,3.298809479243811,-888.1053518456714,100
