Scenario_ID,Rank,TMT_Before,TMT_After,TMT_Improvement,Improvement_Percentage,Uncoordinated_Before,Uncoordinated_After,Coordinated_Before,Coordinated_After,Coordination_Pct_Before,Coordination_Pct_After,Relays_Optimized,Performance_Category
scenario_14,1,26.980000,16.110610,10.869390,40.29,76,32,12,66,12.00,66.00,73,Excellent
scenario_15,2,20.394600,14.569519,5.825081,28.56,76,31,12,67,12.00,67.00,73,Excellent
scenario_47,3,14.723800,13.011554,1.712246,11.63,78,28,10,69,10.00,69.00,73,Excellent
scenario_45,4,15.737500,14.384335,1.353165,8.60,77,28,11,69,11.00,69.00,73,Excellent
scenario_5,5,16.883200,15.576896,1.306304,7.74,77,28,11,70,11.00,70.00,73,Excellent
scenario_34,6,15.668000,14.654700,1.013300,6.47,89,31,11,69,11.00,69.00,74,Excellent
scenario_13,7,13.834400,13.339896,0.494504,3.57,77,22,10,76,10.00,76.00,73,Good
scenario_65,8,14.815100,14.514785,0.300315,2.03,85,25,15,75,15.00,75.00,74,Good
scenario_8,9,13.723100,14.037587,-0.314487,-2.29,78,32,10,66,10.00,66.00,73,Neutral
scenario_9,10,13.888700,14.423927,-0.535227,-3.85,76,31,12,67,12.00,67.00,73,Neutral
scenario_28,11,15.843200,16.482043,-0.638843,-4.03,88,31,12,69,12.00,69.00,74,Neutral
scenario_11,12,14.050400,14.742926,-0.692526,-4.93,80,23,10,75,10.00,75.00,73,Neutral
scenario_38,13,14.109100,14.843791,-0.734691,-5.21,82,27,6,70,6.00,70.00,73,Neutral
scenario_31,14,15.866800,16.875518,-1.008718,-6.36,89,33,11,67,11.00,67.00,74,Poor
scenario_44,15,13.896300,15.025118,-1.128818,-8.12,82,30,8,67,8.00,67.00,73,Poor
scenario_62,16,15.330900,16.589864,-1.258964,-8.21,86,21,14,79,14.00,79.00,74,Poor
scenario_39,17,13.684000,15.166776,-1.482776,-10.84,78,30,11,67,11.00,67.00,73,Poor
scenario_59,18,15.161900,16.699455,-1.537555,-10.14,88,32,12,68,12.00,68.00,74,Poor
scenario_50,19,14.023200,15.585703,-1.562503,-11.14,83,29,7,69,7.00,69.00,73,Poor
scenario_27,20,15.876900,17.646384,-1.769484,-11.15,87,27,13,73,13.00,73.00,74,Poor
scenario_46,21,14.733600,16.679856,-1.946256,-13.21,78,24,10,73,10.00,73.00,73,Poor
scenario_2,22,13.694900,15.948470,-2.253570,-16.46,78,26,10,72,10.00,72.00,73,Poor
scenario_7,23,13.514600,15.863958,-2.349358,-17.38,77,24,12,74,12.00,74.00,73,Poor
scenario_43,24,13.731800,16.207289,-2.475489,-18.03,79,22,11,75,11.00,75.00,73,Poor
scenario_48,25,14.265200,16.823479,-2.558279,-17.93,80,28,8,69,8.00,69.00,73,Poor
scenario_57,26,15.263100,17.891879,-2.628779,-17.22,88,34,12,66,12.00,66.00,74,Poor
scenario_1,27,15.854300,18.685726,-2.831426,-17.86,88,36,12,64,12.00,64.00,74,Poor
scenario_30,28,15.688200,18.609293,-2.921093,-18.62,91,33,9,67,9.00,67.00,74,Poor
scenario_52,29,13.849000,16.978132,-3.129132,-22.59,79,27,11,71,11.00,71.00,73,Very Poor
scenario_42,30,13.412400,16.937791,-3.525391,-26.28,75,32,14,65,14.00,65.00,73,Very Poor
scenario_41,31,13.371900,16.940597,-3.568697,-26.69,76,30,12,67,12.00,67.00,73,Very Poor
scenario_35,32,15.567200,19.167761,-3.600561,-23.13,89,34,11,66,11.00,66.00,74,Very Poor
scenario_29,33,15.726500,19.385723,-3.659223,-23.27,85,37,15,63,15.00,63.00,74,Very Poor
scenario_23,34,15.690300,19.414939,-3.724639,-23.74,90,34,10,66,10.00,66.00,74,Very Poor
scenario_63,35,15.476200,19.207870,-3.731670,-24.11,85,34,15,66,15.00,66.00,74,Very Poor
scenario_54,36,15.374700,19.193270,-3.818570,-24.84,87,38,13,62,13.00,62.00,74,Very Poor
scenario_22,37,15.895000,19.766190,-3.871190,-24.35,88,30,12,70,12.00,70.00,74,Very Poor
scenario_67,38,14.898000,18.772275,-3.874275,-26.01,86,37,14,63,14.00,63.00,74,Very Poor
scenario_12,39,13.872700,17.802597,-3.929897,-28.33,80,27,9,71,9.00,71.00,73,Very Poor
scenario_20,40,13.978900,17.975570,-3.996670,-28.59,80,34,9,64,9.00,64.00,73,Very Poor
scenario_19,41,13.818500,17.819917,-4.001417,-28.96,78,32,11,66,11.00,66.00,73,Very Poor
scenario_24,42,15.589500,19.960226,-4.370726,-28.04,85,29,15,71,15.00,71.00,74,Very Poor
scenario_26,43,15.808500,20.195657,-4.387157,-27.75,93,26,7,74,7.00,74.00,74,Very Poor
scenario_60,44,15.057700,19.548550,-4.490850,-29.82,88,40,12,60,12.00,60.00,74,Very Poor
scenario_18,45,14.105500,18.707713,-4.602213,-32.63,81,25,8,73,8.00,73.00,73,Very Poor
scenario_17,46,13.998500,18.632657,-4.634157,-33.10,79,26,11,72,11.00,72.00,73,Very Poor
scenario_21,47,15.992200,20.684592,-4.692392,-29.34,88,37,12,63,12.00,63.00,74,Very Poor
scenario_16,48,16.079600,20.812964,-4.733364,-29.44,79,30,9,68,9.00,68.00,73,Very Poor
scenario_4,49,15.230500,19.992534,-4.762034,-31.27,87,28,13,72,13.00,72.00,74,Very Poor
scenario_40,50,13.571700,18.344391,-4.772691,-35.17,78,29,11,69,11.00,69.00,73,Very Poor
scenario_25,51,15.696400,20.588029,-4.891629,-31.16,88,38,12,62,12.00,62.00,74,Very Poor
scenario_64,52,15.363400,20.338749,-4.975349,-32.38,89,31,11,69,11.00,69.00,74,Very Poor
scenario_6,53,14.811300,19.806417,-4.995117,-33.73,77,25,11,73,11.00,73.00,73,Very Poor
scenario_33,54,15.541000,20.702617,-5.161617,-33.21,88,30,12,70,12.00,70.00,74,Very Poor
scenario_66,55,14.944800,20.564142,-5.619342,-37.60,86,27,14,73,14.00,73.00,74,Very Poor
scenario_58,56,15.259300,20.933777,-5.674477,-37.19,88,27,12,73,12.00,73.00,74,Very Poor
scenario_56,57,14.986900,20.756118,-5.769218,-38.50,88,29,12,71,12.00,71.00,74,Very Poor
scenario_49,58,13.995900,19.774166,-5.778266,-41.29,81,31,9,67,9.00,67.00,73,Very Poor
scenario_61,59,15.425600,21.344916,-5.919316,-38.37,89,28,11,72,11.00,72.00,74,Very Poor
scenario_37,60,14.380700,20.453563,-6.072863,-42.23,80,26,8,71,8.00,71.00,73,Very Poor
scenario_53,61,15.508400,21.668177,-6.159777,-39.72,91,34,9,66,9.00,66.00,74,Very Poor
scenario_10,62,13.612000,19.812123,-6.200123,-45.55,76,26,12,72,12.00,72.00,73,Very Poor
scenario_36,63,15.695100,21.942887,-6.247787,-39.81,90,29,10,71,10.00,71.00,74,Very Poor
scenario_3,64,13.544600,19.935995,-6.391395,-47.19,78,32,11,65,11.00,65.00,73,Very Poor
scenario_55,65,15.091300,21.854974,-6.763674,-44.82,85,35,15,65,15.00,65.00,74,Very Poor
scenario_32,66,15.804600,23.330249,-7.525649,-47.62,89,31,11,69,11.00,69.00,74,Very Poor
scenario_68,67,15.042900,22.628625,-7.585725,-50.43,84,35,16,65,16.00,65.00,74,Very Poor
scenario_51,68,13.790500,21.541732,-7.751232,-56.21,78,25,12,73,12.00,73.00,73,Very Poor
