scenario_id,tmt_before,tmt_after,improvement_percent,num_cases_before,num_cases_after
scenario_1,0.2975,2.4632,-727.98,100,100
scenario_2,0.3606,inf,-inf,88,98
scenario_3,0.3575,inf,-inf,89,98
scenario_4,0.3259,2.1678,-565.16,100,100
scenario_5,0.4618,inf,-inf,88,98
scenario_6,0.3944,inf,-inf,88,98
scenario_7,2.5108,inf,-inf,89,98
scenario_8,0.3604,inf,-inf,88,98
scenario_9,0.4254,inf,-inf,88,98
scenario_10,0.3864,inf,-inf,88,98
scenario_11,0.4216,inf,-inf,90,98
scenario_12,0.3618,inf,-inf,89,98
scenario_13,0.3985,inf,-inf,87,98
scenario_14,0.8581,inf,-inf,88,98
scenario_15,0.6021,inf,-inf,88,98
scenario_16,0.46,inf,-inf,88,98
scenario_17,0.4941,inf,-inf,90,98
scenario_18,0.3514,inf,-inf,89,98
scenario_19,0.3693,inf,-inf,89,98
scenario_20,0.5081,inf,-inf,89,98
scenario_21,0.2956,2.8004,-847.25,100,100
scenario_22,0.297,3.0661,-932.26,100,100
scenario_23,0.3018,3.3469,-1008.89,100,100
scenario_24,0.3053,3.5379,-1058.71,100,100
scenario_25,0.3019,2.69,-790.93,100,100
scenario_26,0.2991,3.025,-911.49,100,100
scenario_27,0.2973,3.2569,-995.59,100,100
scenario_28,0.2981,2.9067,-874.93,100,100
scenario_29,0.3037,2.0077,-561.08,100,100
scenario_30,0.3033,2.9492,-872.23,100,100
scenario_31,0.2994,2.7102,-805.15,100,100
scenario_32,0.2996,2.7995,-834.25,100,100
scenario_33,0.3077,2.851,-826.41,100,100
scenario_34,0.3034,2.9968,-887.8,100,100
scenario_35,0.306,3.1495,-929.36,100,100
scenario_36,0.3022,3.01,-896.05,100,100
scenario_37,0.3712,inf,-inf,88,98
scenario_38,0.3614,inf,-inf,88,98
scenario_39,0.4005,inf,-inf,89,98
scenario_40,0.3543,inf,-inf,89,98
scenario_41,0.3857,inf,-inf,88,98
scenario_42,0.4243,inf,-inf,89,98
scenario_43,0.3477,inf,-inf,90,98
scenario_44,0.3243,inf,-inf,90,98
scenario_45,0.4574,inf,-inf,88,98
scenario_46,0.4239,inf,-inf,88,98
scenario_47,0.4024,inf,-inf,88,98
scenario_48,0.3861,inf,-inf,88,98
scenario_49,0.3478,inf,-inf,90,98
scenario_50,0.3551,inf,-inf,90,98
scenario_51,0.3926,inf,-inf,90,98
scenario_52,0.8218,inf,-inf,90,98
scenario_53,0.3191,2.5162,-688.42,100,100
scenario_54,0.3232,2.728,-743.96,100,100
scenario_55,0.3316,2.986,-800.56,100,100
scenario_56,0.3365,3.5034,-941.22,100,100
scenario_57,0.3239,2.9329,-805.64,100,100
scenario_58,0.3247,2.6646,-720.55,100,100
scenario_59,0.3281,3.0121,-818.14,100,100
scenario_60,0.3302,2.6268,-695.61,100,100
scenario_61,0.3179,2.4569,-672.83,100,100
scenario_62,0.3215,2.548,-692.55,100,100
scenario_63,0.3182,3.53,-1009.29,100,100
scenario_64,0.3221,2.5206,-682.56,100,100
scenario_65,0.342,3.435,-904.39,100,100
scenario_66,0.3367,3.4453,-923.22,100,100
scenario_67,0.3392,3.6207,-967.36,100,100
scenario_68,0.3339,3.2988,-888.11,100,100
